Code,Name,Stock,Price,New
1011392,RADIATOR KIA PICANTO 2011 (AT)(16MM) FROTIS´íÎó,0,552,
1011393,RADIATOR PAJERO MONTERO 4M40 90-00 (AT)(26MM) (FROTIS),39,638,
1011394,RADIATOR FORD ESCAPE 2002 V6 3.0 EP (AT)(26MM) (FROTISE),0,800,
1011394,RADIATOR FORD ESCAPE 2002 V6 3.0 EP (AT)(26MM) (FROTISE),0,800,
1011395,RADIATOR HIACE FISH 1997 RCH41(PIPE RIGHT) (AT)(32MM)£¨FROTISE),0,880,
1011396,RADIATOR TACOMA 1995 VZN150 5VZFE (AT)(32MM) FROTIS,0,792,
1011397,RADIATOR HONDA ACCORD 2008 CU2(AT)(26MM) (FROTISE),17,780,1
1011398,RADIATOR NISSAN X-TRAIL 2007 T31 (AT) (26MM) (FROTISE),2,680,
1011317,RADIATOR CHRYSLER 300G 2005 (MT)(26MM) (FROTISE),0,850,
1011318,RADIATOR MITSUBISHI 2005 L200 (MT)(26MM) FROTIS,65,780,
1011319,RADIATOR SIENNA 2007 MCL20 3MZFE (AT)(26MM)(FROTIS),16,820,
1011320,RADIATOR SIENNA 2003 MCL20 3MZFE (FULL ALIMINUM)(AT)(22MM) £¨FROTISE£©,14,820,
1011321,RADIATOR HIGHLANDER 2007 GSU45 (4 CYLINDER) 2.7 1ARFE (AT)(26MM) (FROTISE),96,820,
1011322,RADIATOR LEXUS RX330/350 2005 MCU30 1MZFE (18MM)(AT) FROTIS,0,700,
1011323,RADIATOR HIGHLANDER 2007 GSU45 (6 CYLINDER)2GRFE (AT)(26MM)£¨FROTISE£©,34,800,
1011324,RADIATOR HILUX VIGO LAN15/25 5LE (MT)(32MM)(FROTISE),224,780,
1011325,RADIATOR SIENNA 1997 MCL10 (AT)(26MM) FROTIS,0,642,
1011326,RADIATOR TUNDRA 2002 UCK30/40 2UZFE (AT)(32MM) £¨FROTISE£©,0,1300,
1011327,RADIATOR 2UZFE TUNDRA/SEQUOIA 2010 UCK50/60 (MT) (36MM) (FROTISE),8,1200,
1011328,RADIATOR LAND CRUISER 1990 HDJ81 (AT)(36MM) FROTIS,9,1250,
1011329,RADIATOR COASTER BB40 1HZ (AT)(32MM) (FROTISE),66,1000,
1011330,RADIATOR LAND CRUISER 2000 HDJ100 (AT)(36MM) FROTIS,6,1200,
1011331,RADIATOR NISSAN PATROL Y61 (MT)(36MM) (FROTISE),0,810,
1011332,RADIATOR LEXUS RX300 95-99 MCU10 (AT)(26MM) (FROTISE),0,850,
1011333,RADIATOR COROLLA 2003 ZZE130 (AT)(26MM) (FROTISE),0,490,
1011333,RADIATOR COROLLA 2003 ZZE130 (AT)(26MM) (FROTISE),0,490,
1011334,RADIATOR YARIS 2005 NCP90 1NZ/2NZ (AT)(16MM) FROTIS´íÎó,0,325,
1011335,RADIATOR COROLLA 2009 S.A. MODEL ZRE152 (AT)(26MM) (FROTISE),9,620,1
1011336,RADIATOR CAMRY 2002 ACV30(AT)(26MM)(FROTISE),0,780,
1011337,RADIATOR RAV4 2008 ACA33 2GRFE (AT)(26MM) £¨FROTISE),0,650,
1011338,RADIATOR CAMRY 2007 ACV40 2GRFE (AT)(26MM) (FROTISE),0,720,
1011339,RADIATOR 2UZFE 4RUNNER 2004 UZN215 (AT) (32MM) (FROTIS),0,1100,
1011340,RADIATOR LAND CRUISER 2010 VDJ200 V8 5.7 (PETROL) 3URFE (AT)(48MM) FROTIS,13,1450,
1011341,RADIATOR LAND CRUISER 2010 VDJ200 (DIESEL) 1VDFTV (AT)(48MM) £¨FROTISE£©,0,1400,
1011342,RADIATOR LAND CRUISER 2010 VDJ200 (DIESEL) 1VDFTV (AT)(48MM) £¨FROTISE£©,0,1110,
1011343,RADIATOR PRADO 1996 KZJ95/4RUNNER 1KD (AT)(26MM) FROTIS,0,740,
1011344,RADIATOR PRADO 1996 KZJ95 (MT)(26MM) FROTIS,0,700,
1011345,RADIATOR CAMRY 1998 SXV20 (AT)(26MM)FROTIS,3,740,
1011346,RADIATOR LEXUS RX300 SXU15 (AT)(26MM)£¨FROTISE),0,820,
1011348,RADIATOR TACOMA 2004 GRN245 1GRFE (AT)(26MM) FROTIS,0,880,
1011349,RADIATOR COROLLA 2009 ZRE141 2ZRFE (AT)(26MM) FROTIS´íÎó,0,470,
1011350,RADIATOR HIACE 2005 KDH200 1KD/2KD (SMALL)(FULL ALUMINIUM)(MT)(26MM) FROTISE,30,620,
1011351,RADIATOR ACURA MDX (AT)(26MM) FROTIS,14,850,
1011352,RADIATOR HONDA CIVIC 2002 EP2 (AT)(16MM)(FROTISE),0,550,
1011353,RADIATOR HONDA CRV 2002 RD5 (AT)(26MM) (FROTISE),2,750,
1011354,RADIATOR ACURA MDX (AT)(26MM)(FROTISE),0,1100,
1011355,RADIATOR HONDA CIVIC 2006 FD (MT)(26MM) (FROTISE),5,620,1
1011356,RADIATOR HONDA CRV 2007 RE7 (AT)(26MM) (FROTISE),7,750,1
1011357,RADIATOR FORD EXPLORER 2002 (MT)(26MM) FROTIS,13,650,
1011358,RADIATOR NISSAN JUKE F15 (MT)(26MM) FROTIS,0,670,
1011359,RADIATOR NISSAN SENTRA/ALMERA/SUNNY B15 QG18 (AT)(26MM) FROTIS,14,650,
1011360,RADIATOR NISSAN ARMADA TA60 (AT)(36MM) FROTIS,0,1350,
1011361,RADIATOR NISSAN SUNNY 2007 B15 (AT)(26MM) £¨FROTISE£©,32,620,
1013583,RADIATOR LAND CRUISER 2002 (48MM)(MT)FROTIS,0,1144,
1013584,RADIATOR HIACE 2KD 2005 (MT)(36MM)(FULL ALIMINUM)£¨FROTISE),0,1111,
1013585,RADIATOR HIACE 2KD 2005(AT) (36MM)£¨FROTISE),0,1410,
1013586,RADIATOR RAV4 2.0G 1998 SXA11 (AT)(26MM)£¨FROTISE),8,780,
1013587,RADIATOR TACOMA 2.4/2.7/3.4 L4 V6 1995-2004 (26MM)(AT)FROTIS,17,1000,
1013588,RADIATOR COROLLA/MATRIX 2009 ZRE141 (26MM)(AT(FROTISE),0,550,
1013588,RADIATOR COROLLA/MATRIX 2009 ZRE141 (26MM)(AT(FROTISE),0,550,
1013589,RADIATOR BMW X5 X6 E70 E71 (FULL ALUMINUM) (32MM)(MT) FROTIS,2,1360,
1013590,RADIATOR HONDA CIVIC 2013 FB3 (AT)(16MM)(FROTISE),39,590,
1013591,RADIATOR FORD RANGER 2013 T6 (26MM)(MT)(FROTIS),27,1050,
1013592,RADIATOR HONDA CRV 2013 2.0L RM4 (16MM)(AT)(FROTISE),0,630,
1013593,RADIATOR ACCORD 2.4 2004 CL7(26MM)(AT) FROTIS,0,720,
1013594,RADIATOR ACURA MDX TL 3.5 V6 2005-2010 (26MM)(AT)FROTIS,0,690,
1013595,RADIATOR HONDA FIT 2004 GD1 (16MM)(AT)FROTIS,7,550,
1013596,RADIATOR CIVIC FAI 2006-2010 (26MM)(AT)(FROTISE),0,750,
1013597,RADIATOR JETTA 2006 1.6/2.0/2.5 (22MM)(MT)FROTIS,0,715,
1013598,RADIATOR JETTA /PASSAT 2005 (32MM)(MT) FROTIS,0,792,
1013599,RADIATOR GOLF 2005 (26MM)(MT) FROTIS,2,468,
1013600,RADIATOR IX35/TUCSON/SPORTAGE 2010 (AT)(16MM) FROTIS,0,624,
1013601,RADIATOR ELANTRA 2014 (16MM)(AT) (FROTISE),34,580,
1013602,RADIATOR SSANG YONG REXTON 2.7 2002 (26MM)(AT)(FROTISE),25,1000,
1013603,RADIATOR SSANG YONG REXTON 2.9 2002 (26MM)(AT)(FROTISE),0,900,
1013604,RADIATOR NISSAN ROGUE 2007 S35 (MT)(26MM)(FROTISE),0,750,
1013605,RADIATOR NISSAN PATROL 2012 Y62/INFINITI QX56 2010 VK56DE (42MM)(AT)(FROTISE),0,1600,
1013606,RADIATOR DATSUN TRUCK 2.7D/HARDBODY 1997-1999 (MT)(32MM)(FROTISE),81,750,
1013607,RADIATOR NISSAN QASHQAI 2013 (16MM)(MT)FROTIS,0,620,
1013607,RADIATOR NISSAN QASHQAI 2013 (16MM)(MT)FROTIS,0,620,
1013608,RADIATOR URVAN 2.4/CARAVAN 3.0D 2001 E25 (36MM)(MT)FROTIS,17,680,
1013609,RADIATOR PATHFINDER 3.3 V6 1997 R50 (26MM)(AT)(FROTIS),0,605,
1013610,RADIATOR NISSAN VERSA/ALMERA 2013 N17 1.6L (AT)(26MM)(FROTISE),0,680,
1013611,RADIATOR NISSAN PATHFINDER 2013/INFINITI QX60 3.5L V6 (26MM)(AT)FROTIS,0,1000,
1013612,RADIATOR ALTIMA 2002-2006 2.5 4CYLINDER (26MM)(AT)(FROTISE),0,780,
1013613,RADIATOR NISSAN MURANO 2005 Z50 (26MM)(AT)(FROTIS),0,577,
1013614,RADIATOR KIA RIO 2005(AT) (26MM) (FROTISE),0,700,
1013615,RADIATOR SORENTO 2.5 DIESEL 2000-2002 (26MM)(AT)(FROTISE),0,700,
1013616,RADIATOR KIA PICANTO 2011(AT) (26MM) (INTAKE MIDDLE)£¨FROTISE£©,45,550,
1013617,RADIATOR ACCENT 2007 (AT)(26MM)£¨FROTISE£©,47,700,
1013618,RADIATOR HYUNDAI I10 1.0 1.25L 2008 (AT)(26MM)(FROTISE),0,450,
1013619,RADIATOR HYUNDAI LAVITA MPV 1.5/1.6/1.8 2006 (26MM)(AT)FROTIS,0,544,
1013620,RADIATOR I20 (16MM)(AT)(FROTIS),22,540,
1013621,RADIATOR SANTA FE 2.4/2.7 2000(AT )(26MM)£¨FROTISE£©,0,780,
1013622,RADIATOR SANTA FE 2013 TURBO TYPE (AT)(22MM) (FROTISE),0,780,
1013623,RADIATOR TUCSON 2005-2008 (26MM)(AT)FROTIS,0,425,
1013624,RADIATOR CERATO 1.6/2.0 16V 2005 (16MM)(AT)FROTIS,30,560,
1013625,RADIATOR ELANTRA 1.4/1.6/2.0 16V 2007 (AT)(26MM)(FROTISE),0,700,
1013626,RADIATOR SORENTO 3.3L/3.5L V6 2000-2002 (AT)(26MM)(FROTISE),1,900,
1013627,RADIATOR SORENTO 2007 2.5L TRUBO DIESEL (26MM)(AT)FROTIS,0,564,
1013628,RADIATOR SONATA 2.0 TURBO 2012 (16MM)(AT)FROTIS,0,700,
1013629,RADIATOR HYUNDAI H200 (MT)(26MM)(FROTISE),7,600,
1013630,RADIATOR H101 BUS (32MM)(MT)FROTIS,0,792,
1013631,RADIATOR TERACAN 2.5 CRD 2001 (26MM)(MT)FROTIS,0,714,
1013632,RADIATOR H3 HUMMER 2006-2009 (AT)(32MM)(FROTISE),8,1050,
1013633,RADIATOR FORD EXPLORER 2009 (AT)(32MM) (FROTISE),53,1150,
1013635,RADIATOR EXPLORER 3.5L V6 2012 (26MM)(MT) FROTIS,17,920,
1013636,RADIATOR CHEVROLET AVEO 1.6L 2004 (26MM)(MT) FROTIS,18,680,
1013637,RADIATOR CHEVROLET EQUINOX 3.0L V6 2010-2017 (AT) (26MM)£¨FROTISE£©,91,950,
1013638,RADIATOR JEEP CHEROKEE 1991 (32MM)(AT) FROTIS,0,810,
1013639,RADIATOR CHRYSLER PT CRUISER 2001 (26MM)(AT) FROTIS,0,700,
1013640,RADIATOR CHRYSLER 300C/CHARGER (42MM)(MT) FROTIS,0,675,
1013641,RADIATOR VOLVO X90 2007 (40MM)(AT)FROTIS,0,810,
1013642,RADIATOR BMW X3 (32MM)(MT)(FROTIS),0,936,
1013643,RADIATOR VW PASSAT B5 1.8 2000-2005 (32MM)(AT)FROTIS,0,605,
1013644,RADIATOR GRAND CHEROKEE 3.0CRD D EVA 2000-2005 (32MM)(AT) FROTIS,0,930,
1013645,RADIATOR GRAND CHEROKEE 4.0 V6G 2000-2002 (26MM)(AT)FROTIS,16,1100,
1013646,RADIATOR GMC V6 GAS 2003 (26MM)(AT)FROTIS,20,740,
1013647,RADIATOR FORD EDGE 3.5L V6 07/LINKEN MAX 3.6 V6 2007-2009 (MT(26MM) (FROTISE),8,605,
1013648,RADIATOR VOLV0 S60 2.0T B5204T5/2.4D D5244T 2000-2005 (32MM)(MT)FROTIS,0,836,
1013649,RADIATOR ISUZU D-MAX 2003-2006 (26MM)(AT)FROTIS,20,655,
1013650,RADIATOR FORD ESCAPE 2.3 4CYLINDER 2008 (MT)(26MM) (FROTISE),11,800,
1013651,RADIATOR FORD ESCAPE 3.0L V6 2008 (26MM)(MT)(FROTISE),0,690,
1013652,RADIATOR BENZ SPRINTER 1995(AT) (40MM)(FROTISE),556,830,
1013653,RADIATOR SATURN VUE 2008-2009 (AT)(26MM)(FROTISE),15,920,1
1013654,RADIATOR JAGUAR XJ500 V6 3.0D 2009 (36MM)(MT) FROTIS,0,836,
1013655,RADIATOR FORD ESCAPE 2013 (26MM)(MT)(FROTISE),10,780,1
1013656,RADIATOR MAZDA MPV 2.5G 1999-2002 (26MM)(AT)FROTIS,0,655,
1013657,RADIATOR L200 2005 KB4T (26MM)(MT)FROTIS,0,660,
1013658,RADIATOR L200 2007 (AT)(26MM)(FROTISE),16,820,
1013659,RADIATOR DELICA CARGO/DELICA SPACE GERA 2.4 1994-2003 (26MM)(AT)FROTIS,2,517,
1013661,RADIATOR ENDEAVOR 2003 (26MM)(AT)FROTIS,12,930,
1013662,RADIATOR CHALLENGER 2.5D 1996-1997 (32MM)(AT)FROTIS,0,740,
1013663,RADIATOR MAZDA CX-5 2011 (26MM)(MT)FROTIS,0,687,
1013664,RADIATOR MAZDA TRIBUTE/FORD ESCAPE 2002 2.0 (AT)(26MM)(FROTISE),30,800,
1013665,RADIATOR VECTRA 1988 (26MM)(MT)FROTIS,9,535,
1013557,RADIATOR LEXUS RX400 (22MM)(AT) FROTIS,12,1050,
1013558,RADIATOR SIENNA 2012 (26MM)(AT) FROTIS,0,912,
1013559,RADIATOR HIACE/QUANTUM 2007 KDH200 (2 PIPES) (MT)  (36MM)£¨FROTISE£©,12,980,1
1013560,RADIATOR CHEVROLET CRUZE J300 1.6T 2010 (AT)(26MM) (FROTISE),6,800,1
1013561,RADIATOR MITSUBISHI OUTLANDER 2015 GF7W (16MM)(AT)FROTIS,5,690,1
1013562,RADIATOR FORD RANGER 2006 (LONG)(L=450MM)(32MM)(MT)£¨FROTIS£©,70,750,
1013563,RADIATOR PAJERO 2004 V73 4M41 (MT)(26MM) (FROTISE),31,880,
1013564,RADIATOR BMW E53 4.6I X5 (32MM)(MT) FROTIS,0,792,
1013565,RADIATOR NISSAN FRONTIER/XTERRA 1998-2004 (32MM)(AT)(FROTISE),0,800,
1013566,RADIATOR INFINITI FX45/50 2010 (26MM)(AT)FROTIS,0,850,
1013567,RADIATOR CHEVROLET EXPRESS 2004-2006 (32MM)(AT) FROTIS,7,930,
1013568,RADIATOR NISSAN PATHFINDER 2007 3.5L V6(26MM)(MT) FROTIS,0,1000,
1013569,RADIATOR TORRENT 3.4L V6 2006-2007 (26MM)(AT)FROTIS,0,698,
1013570,RADIATOR LEXUS RX300/330/350 3.5 V6 2007/HARRIER 2007-2009 (AT)(22MM)(FROTISE),13,920,
1013571,RADIATOR SIENNA 2014 3.5L V6 (26MM)(AT)FROTIS,24,980,
1013572,RADIATOR COROLLA 1.4 1.6 1.8 1997-1999 AE110 (AT)(26MM)(FROTISE),0,540,
1013573,RADIATOR AVENSIS 2.0 2003 AZT250 (26MM)(AT)(FROTISE),6,522,
1013574,RADIATOR HILUX VIGO/INNOVA 3.0D 2007 (MT)(32MM)(FROTISE),0,830,
1013575,RADIATOR HIGHLANDER 2014 GSU55 2.7L L4 V6(16MM)(AT) (FROTISE),78,780,
1013576,RADIATOR CAMRY 2012 ACV50 2.5 (AT)(26MM) (FROTISE),0,780,
1013577,RADIATOR YARIS 1.0/1.3 2005 NCP90 (SHORT) (AT)(16MM) (FROTISE),0,450,
1013578,RADIATOR PRADO 2012 KDJ150 3.0 DIESEL(36MM)(MT)FROTIS,4,1034,
1013579,RADIATOR LAND CRUISER/PRADO 4.0 V6/4RUNNER 2003-2010 (26MM)(AT)(FROTIS),22,920,
1013580,RADIATOR PRADO 2012/4RUNNER GRJ150 4.0 PETROL (32MM)(AT)FROTIS,19,1200,
1013581,RADIATOR LAND CRUISER 2010 VDJ200 V8 (48MM)(MT)FROTIS,59,1250,
1013582,RADIATOR HILUX 4RUNNER 2.7L PETROL (32MM)(MT)(FROTISE),51,800,
1020000,RADIATOR HILUX REVO 2015 KUN125(AT)(26MM)(FROTISE),184,920,
1019735,RADIATOR L200 2015-2020 2.5 (MT)(26MM)(FROTISE),18,780,
1019736,RADIATOR NISSAN JUKE F15 (AT) (16MM) (FROTIS),0,572,
1019737,RADIATOR MAZDA CX-3 2.0L 2016 £¨AT/MT£© £¨16MM£© FROTIS,23,600,
1019738,RADIATOR HONDA ACCORD 2014 (AT) (16MM) (FROTISE),1,590,
1019739,RADIATOR HONDA CIVIC 2.0 2017 (AT/MT) (16MM) (FROTISE),0,550,
1019740,RADIATOR HONDA CRV 2017 (AT) (16MM) (FROTISE),0,720,
1019741,RADIATOR HONDA ACCORD 2014 2.0 (AT) (16MM) (FROTIS),72,650,
1019742,RADIATOR HYUNDAI SONATA 2016 (AT) (16MM) (FROTISE),0,690,
1019744,RADIATOR SANTA FE 2020/SORENTO 2015 2.5/3.3 (LONG)(AT)(16MM)(FROTISE),17,950,
1019746,RADIATOR FORD EXPLORER 2016 (AT/MT) (26MM) FROTIS,5,980,
1019747,RADIATOR JEEP LIBERTY 2004 (AT) (26MM) (FROTIS),0,792,
1019748,RADIATOR MITSUBISHI OUTLANDER 2004 CU2W (26MM)(AT) (FROTIS),0,577,
1019752,RADIATOR PAJERO 2004 V73 (AT)(26MM)(FROTISE),0,880,
1019753,RADIATOR MITSUBISHI OUTLANDER 2010 CW5W (AT)(26MM)(FROTIS),5,880,1
1019755,RADIATOR INFINITI 2003- V6 FX35(AT)(26MM)(FROTISE),0,930,
1019757,RADIATOR PEUGEOT/PEUGEOT 406 2.0,0,506,
1019760,RADIATOR HYUNDAI VERACRUZ IX35 V6 3.8L 2011 (18MM)(AT)(FROTIS),23,627,
1020642,RADIATOR INFINIT 2008 G35(AT) (26MM)((FROTISE),7,700,
1020643,RADIATOR CARAVAN/URVAN 2001- E25(AT)(36MM) (FROTISE),15,800,1
1020644,RADIATOR TERRANO 1996-2004 R50 (AT)(26MM)(FROTISE),0,682,
1020645,RADIATOR NISSAN SERENA 2001-2006/X-TRAIL 2004 T30 (AT) (26MM) (FROTISE),0,850,
1020646,RADIATOR PAJERO L04#/L200/L300/HARDBODY/VIGO(MT)(32MM)£¨COPPER£©(FROTISE),0,1570,
1020647,RADIATOR DISCOVERY 2004-2009 LR3 (AT) (32MM) (FROTISE),6,1300,
1016024,RADIATOR HIACE 2005 KDH200 5LE (MT)(32MM) FROTIS,0,740,
1016025,RADIATOR HIACE 2005 KDH200 1KD/2KD (SMALL)(FULL ALUMINIUM)(MT)(26MM) FROTIS,0,390,
1018702,RADIATOR TOYOTA HIACE FISH 1995 (PIPE LEFT)(AT)(48MM)(FROTISE),2,980,
1017012,RADIATOR HILUX VIGO (PETROL) 2TR TGN16/TGN26  (MT)(26MM)(FROTISE),38,860,
1017026,RADIATOR HIACE 2KD 2005 (2 PIPES)(PIPE LEFT)(36MM)(MT)(FROTISE),12,1150,1
1017654,RADIATOR HIACE 2KD 2005 (2 PIPES)(36MM)(MT)£¨FROTISE£©,1,1050,
1017655,RADIATOR HIACE 2KD 2005 (36MM)(AT)FROTIS,0,980,
1025756,RADIATOR TOYOTA NOAH VOXY ZZR75/ZZR70(26MM)(AT)(FROTISE),0,720,
1026220,RADIATOR IZOA M20A-FKS COROLLA 2020(MT)(26MM)£¨FROTISE),1,550,
1026221,RADIATOR FIESTA 2008 (MT)(26MM)£¨FROTISE£©,0,473,
1027779,RADIATOR ELANTRA 2017  (AT)(16MM)(FROTISE),10,620,1
1027780,RADIATOR COROLLA 2020 ZWE210  (MT)(26MM)(FROTISE),5,690,
1026222,RADIATOR ROGUE 2014 QR25DE(MT)(16MM)£¨FROTISE£©,25,600,
1026223,RADIATOR HIGHLANDER 2020 2GR-FKS(AT/MT)(16MM)£¨FROTISE),32,750,
1026225,RADIATOR YARIS 2005 NCP90 1NZ/2NZ (AT)(16MM) (FROTISE),0,506,
1026226,RADIATOR HILUX VIGO 4.0 1GRFE(PETROL)(AT)(32MM)£¨FROTISE£©,21,1050,
1026227,RADIATOR QASHQAI 2007 J10 MR20DE(MT)(26MM)FROTISE,0,750,
1027781,RADIATOR I10 1.0 2014  (AT)(16MM)(FROTISE),18,520,
1027782,RADIATOR RAV4 2020 AXAA54 (AT/MT)(16MM)(FROTISE),5,750,1
1027783,RADIATOR ACCENT 2017/RIO 2017 (AT)(16MM)(FROTISE),60,550,
1027784,RADIATOR TUCSON 2015  (AT)(16MM)(FROTISE),0,730,
1027785,RADIATOR SENTRA B16 (MT)(16MM)(FROTISE),0,600,
1027786,RADIATOR ISUZU D-MAX 2012  (MT)(26MM)(FROTISE),53,880,
1027787,RADIATOR HYUNDAI MIGHTY 1998  (MT)(32MM)(FROTISE),9,980,1
1027788,RADIATOR KIA BONGO 3 K2500 2005-PRESENT (MT)(36MM)(FROTISE),25,850,
1027789,RADIATOR KIA BONGO FRONTIER 2000-2004  (MT)(32MM)(FROTISE),8,800,1
1026228,RADIATOR PICANTO 2011 1.2 (AT)(16MM)FROTISE,53,490,
1026229,RADIATOR KIA SOUL 2010(AT)(16MM)(FROTISE),23,620,
1026230,RADIATOR HYUNDAI SORENTO 2006(AT)(26MM)(FROTISE),9,748,
1026231,RADIATOR SPORTAGE 2004 2.7(AT)(22MM)£¨FROTISE£©,4,800,
1027791,RADIATOR HONDA CRV 2017 RW4 (AT/MT) (26MM)(FROTISE),9,800,
1027792,RADIATOR HIGHLANDER 2014 GSU55 2.7L L4 V6 (26MM)(AT)(FROTISE),10,900,1
1027793,RADIATOR YARIS 2005 NCP90 1NZ/2NZ (AT)(22MM)(LONG)(FROTISE),323,580,
1027794,RADIATOR NISSAN PATROL 2010 Y62 (AT)(40MM)(FROTISE),33,1550,
1026356,RADIATOR SUZUKI SWIFT 2017 (MT)(16MM) (FROTISE),10,650,1
1026595,RADIATOR COROLLA 2007 1ZRFE (AT)(16mm)(FROTISE),0,473,
1026596,RADIATOR RENAULT DUSTER 2012 (MT)(26MM)(FROTISE),0,650,
1026597,RADIATOR RENAULT DUSTER 2004 (MT)(26mm)(FROTISE),0,572,
1026598,RADIATOR YARIS 2005 KSP90(LOWER PIPE LEFT)(AT) (16MM)(FROTISE),0,450,
1026599,RADIATOR DODGE RAM 1500 EVA (MT)(26MM)(FROTISE),5,1100,1
1026600,RADIATOR JEEP WLRANGLER 2009 (MT)(26MM) (FROTISE),9,850,
1026601,RADIATOR DODGE JOURNEY 2009 (MT)(16MM) (FROTISE),10,620,1
1026602,RADIATOR FORD F-150 2020 (AT)(26MM)(FROTISE),0,1250,
1026603,RADIATOR HONDA HR-V 2015 RU1 (MT)(16MM)(FROTISE),0,495,
1027441,RADIATOR HOSE LOWER SPRINTER CDI 906(SNG),200,50,
1024806,RADIATOR BRACKET HYUNDAI I10 2007,0,456,
1024807,RADIATOR BRACKET KIA/PICANTO 08£¨DJ£©,0,720,
1023593,RADIATOR MAZDA 323(MT)(26MM)FROTISE,14,495,
1022329,RADIATOR GRACE H100(MT)(26MM)(FROTISE),0,740,
1023924,RADIATOR CHEVROLET AVEO AT(26MM)(FROTISE),14,750,1
1024038,RADIATOR FORD FOCUS AK 2002 2.0(26MM)(AT)(FROTISE),36,580,
1023052,RADIATOR CHEVROLET KALOS 2013/AVEO 2008 (MT)(26MM)(FROTISE),4,620,
1023053,RADIATOR HYUNDAI TUCSON 2009/SPORTAGE 2009/IX35 (MT)(22MM)(FROTISE),30,650,
1023054,RADIATOR TOYOTA HILUX REVO 2016 5LE/FORTUNER 15(MT)(26MM)(FROTISE),9,1050,
1023055,RADIATOR CHEVROLET CRUZE 2009 (FROTISE),0,630,
1023056,RADIATOR NISSAN SENTRA B15 2000-2006 (26MM)(MT) (FROTISE),0,450,
